"","idx","a.mean","a.se","a.Bulk_ESS","a.Tail_ESS","a.Rhat","b.mean","b.se","b.Bulk_ESS","b.Tail_ESS","b.Rhat","samples"
"May8","2019-05",0.57470810175,0.0504601855091376,1300.67784354801,707.543033200776,1.0022650129499,0.0868912516,0.00279898698266687,1264.16861906815,839.789806263786,1.00284951572359,94.758064516129
"Jun8","2019-06",0.365257448125,0.0465655050886553,3297.32506026915,1903.34971306462,1.00075974809278,0.0876448130125,0.00232642552441122,2787.64836163261,2783.08119058716,1.00031010313103,87.9166666666667
"Jul8","2019-07",0.506595927875,0.0397048185866974,1530.61362909218,785.290112841124,1.00338675504947,0.087846149775,0.00207759919371222,1377.19640206428,991.452436321063,1.00232455070102,87.6344086021505
"Aug8","2019-08",0.407988631375,0.0573952062341781,3281.56030716268,2061.58261167954,1.00083916145699,0.087569401825,0.00239651114809936,3240.33244208608,2900.24453199434,1.00231441113336,57.7284946236559
"Sep9","2019-09",0.40850876175,0.0303323519781529,351.936260413432,149.980907279055,1.00419604053319,0.0874578536,0.00240187841815401,366.992604494094,145.311681078602,1.00375826729244,21.3194444444444
"Oct10","2019-10",0.43455748925,0.033650005060727,1392.49791155375,547.930232301,1.00541730761988,0.0877404512125,0.00210894992512373,1284.9166352728,1186.04728863184,1.00366241267329,94.4220430107527
"Nov9","2019-11",0.339953595,0.0447464849153736,4668.1803889379,4007.08444544964,1.00083052477353,0.0879052428375,0.00207710015453701,3912.19399692172,3222.73994050301,1.00137260755201,91.3194444444444
"Dec9","2019-12",0.3504441672375,0.06624259615665,4642.26075323598,4359.60398665963,1.00032752380972,0.0876866798,0.00229866050983924,4024.40506787657,2916.21666266661,1.00024350771017,88.508064516129
"Jan9","2020-01",0.44210341125,0.0391163042758342,4036.7561626677,2987.8662280158,1.00091362819762,0.0877820096375,0.00217193596395815,2865.84108822192,2782.00701831354,1.00068160343915,90.6586021505376
"Feb9","2020-02",0.52552320325,0.0546635255252924,4607.10773927875,3205.01424220433,1.0025528330646,0.0878040851375,0.00218067158278806,3876.30242450737,2995.53206043422,1.00082967548121,91.8103448275862
"Mar9","2020-03",0.723479850125,0.047984663595921,1078.21907462619,373.097688636634,1.00507884015911,0.0876608914375,0.00224139473670997,977.308099498538,484.005339809516,1.00345708853761,95.2284946236559
"Apr9","2020-04",0.637975101375,0.0751507227110333,88.7001761827022,20.4826826576992,1.04623072396876,0.085889309625,0.00396302265030597,85.2715540144202,21.4387030281812,1.04791384286897,94.4444444444444
"May9","2020-05",0.649236034625,0.052411609828556,1751.66251239895,964.969632679177,1.00058696746023,0.087484398675,0.00240762610304782,1620.69378232254,1197.54351917203,1.00064007603868,90.3225806451613
"Jun9","2020-06",0.611618664375,0.0521311579973461,85.5633572495803,16.7710098137593,1.0380392816408,0.0874454157375,0.00267723111797449,89.9526839256415,18.3477439123904,1.03357562904698,87.7083333333333
"Jul9","2020-07",0.611618664375,0.0521311579973461,85.5633572495803,16.7710098137593,1.0380392816408,0.0874454157375,0.00267723111797449,89.9526839256415,18.3477439123904,1.03357562904698,8.53494623655914
"Aug9","2020-08",0.611618664375,0.0521311579973461,85.5633572495803,16.7710098137593,1.0380392816408,0.0874454157375,0.00267723111797449,89.9526839256415,18.3477439123904,1.03357562904698,0
"Sep10","2020-09",0.475197005875,0.0487550204635677,2491.09910066878,1105.17098955636,1.00026788431785,0.0875410464625,0.00240591873625506,1959.31566595574,1402.67389830302,1.00136932453318,22.4305555555556
"Oct11","2020-10",0.5527162155,0.0620746141092106,365.939222196489,66.6023834855138,1.01771024304645,0.0873146382,0.00288572302230367,232.484852195455,86.5865889051973,1.02089368966347,90.3897849462366
"Nov10","2020-11",0.41508770125,0.0572045279037143,4931.00517410263,3118.09891203446,1.00090878798999,0.0877209488,0.00225385639424394,3588.44021472574,2671.36156691727,1.00129889395829,90.1388888888889
"Dec10","2020-12",0.612772895875,0.0555440625853281,3629.59469347506,2327.50597935809,1.00348121262817,0.087654121875,0.00235950673002645,2668.8159363984,2319.90515661668,1.00149268291497,60.6182795698925
"Jan10","2021-01",0.380971672975,0.0881731692494632,5178.28238554476,4444.23438545241,1.00162043911791,0.08769723325,0.00228086323918246,5560.54136347942,3725.48092161077,0.999964927292909,15.9274193548387
"Feb10","2021-02",0.589721008125,0.0549718707036258,2773.93101730238,1809.26562570062,1.00236465236324,0.0874352558875,0.00240372510652088,2379.82896329462,2193.31707155789,1.00209393361494,62.6488095238095
"Mar10","2021-03",0.61376369275,0.0458932183795984,2035.04779540202,1256.52405045595,1.00090315843379,0.0871184937125,0.00262523407112685,1847.07088808795,1622.14170594995,1.00029198125097,95.8333333333333
"Apr10","2021-04",0.68637546425,0.0972422400482371,180.326238427735,47.4386995067563,1.02475125685772,0.0850109478625,0.00477512926282054,240.003161825161,64.7394281703785,1.02245550381216,92.7083333333333
"May10","2021-05",0.86994814475,0.171795122219072,145.853872183278,51.9797025384863,1.03295032177206,0.0820259216875,0.00683721965882121,149.244870698605,51.4571273649393,1.03274266220535,93.9516129032258
"Jun10","2021-06",0.66664280325,0.0458883820701484,1049.12200128561,580.658785468484,1.00435670244358,0.087517815025,0.00211907276361772,1090.16735359372,937.68031426636,1.00390353705031,81.25
"Jul10","2021-07",0.66664280325,0.0458883820701484,1049.12200128561,580.658785468484,1.00435670244358,0.087517815025,0.00211907276361772,1090.16735359372,937.68031426636,1.00390353705031,0
"Aug10","2021-08",0.66664280325,0.0458883820701484,1049.12200128561,580.658785468484,1.00435670244358,0.087517815025,0.00211907276361772,1090.16735359372,937.68031426636,1.00390353705031,0
"Sep11","2021-09",0.390742113375,0.0543594820921262,4499.57264187159,2873.11981390113,1.00093916648008,0.08775467335,0.00221715186927987,3575.39444558098,3663.46059770515,1.00038095754832,39.7222222222222
"Oct12","2021-10",0.390742113375,0.0543594820921262,4499.57264187159,2873.11981390113,1.00093916648008,0.08775467335,0.00221715186927987,3575.39444558098,3663.46059770515,1.00038095754832,0
"Nov11","2021-11",0.390742113375,0.0543594820921262,4499.57264187159,2873.11981390113,1.00093916648008,0.08775467335,0.00221715186927987,3575.39444558098,3663.46059770515,1.00038095754832,0
"Dec11","2021-12",0.390742113375,0.0543594820921262,4499.57264187159,2873.11981390113,1.00093916648008,0.08775467335,0.00221715186927987,3575.39444558098,3663.46059770515,1.00038095754832,0
